Test Scenario ID,Test Scenario Name,Test Case ID,Test Type,Test Case Description,Input Data,Steps to Execute,Expected Result,Priority
TS_CAB_04,Thanh toán & Tính c??c,TC04_02,Positive,Thanh toán qua Ví ?i?n t? thành công,PTTT: Ví ?i?n t?,"1. Chuy?n hoàn thành
2. H? th?ng tr? ti?n t? ??ng","Tr? ti?n thành công, g?i thông báo hóa ??n",High
TS_CAB_04,Thanh toán & Tính c??c,TC04_03,Negative,Thanh toán ?i?n t? th?t b?i do không ?? s? d?,S? d? ví < C??c phí,1. H? th?ng tr? ti?n ?i?n t?,"Báo l?i giao d?ch th?t b?i, yêu c?u ch?n PTTT khác",High
TS_CAB_04,Thanh toán & Tính c??c,TC04_04,Negative,Thanh toán qua th? th?t b?i do th? h?t h?n,Th? h?t h?n,1. H? th?ng tr? ti?n qua th?,Báo l?i th? không h?p l?,High
TS_CAB_04,Thanh toán & Tính c??c,TC04_05,Boundary,Thanh toán chuy?n ?i có c??c phí t?i thi?u,Kho?ng cách r?t ng?n,1. Tính c??c,"H? th?ng áp d?ng m?c giá sàn quy ??nh (VD: 15,000?)",Medium
TS_CAB_04,Thanh toán & Tính c??c,TC04_06,Boundary,Thanh toán v?i s? ti?n l?n b?t th??ng (c?nh báo),C??c phí > 5.000.000?,1. Hoàn thành chuy?n ?i dài,Có th? yêu c?u xác nh?n thêm ho?c ghi log nghi ng?,Medium
TS_CAB_04,Thanh toán & Tính c??c,TC04_07,Empty,Không có ph??ng th?c thanh toán nào ???c liên k?t,PTTT: [R?ng],1. Khách ??t xe tr? tr??c qua th?,Báo l?i yêu c?u thêm th? ho?c ch?n ti?n m?t,High
TS_CAB_04,Thanh toán & Tính c??c,TC04_08,Format,Thêm th? m?i v?i s? CVV sai ??nh d?ng,CVV: 12A,"1. Nh?p thông tin th? có CVV ch?
2. L?u",Báo l?i CVV ch? g?m 3-4 ch? s?,Medium
TS_CAB_05,Qu?n tr? h? th?ng,TC05_01,Positive,Admin xem báo cáo doanh thu theo ngày,L?c ngày: Hôm nay,"1. Vào Admin
2. Ch?n Báo cáo
3. L?c theo hôm nay","Hi?n th? chính xác t?ng doanh thu, s? chuy?n",High
TS_CAB_05,Qu?n tr? h? th?ng,TC05_02,Positive,Admin khóa tài kho?n tài x? vi ph?m,ID Tài x?: X,"1. Tìm tài x? X
2. B?m Khóa tài kho?n",Tài x? X không th? ??ng nh?p ho?c nh?n chuy?n,High
TS_CAB_05,Qu?n tr? h? th?ng,TC05_03,Negative,Nhân viên không có quy?n (Staff) th? truy c?p báo cáo tài chính,Role: Staff,"1. Staff ??ng nh?p
2. Vào Báo cáo tài chính","Báo l?i ""Không có quy?n truy c?p"" (Access Denied)",High
TS_CAB_05,Qu?n tr? h? th?ng,TC05_04,Boundary,Xu?t báo cáo d? li?u trong 1 n?m (kh?i l??ng l?n),T? 01/01 ??n 31/12,"1. Ch?n kho?ng th?i gian 1 n?m
2. B?m Xu?t Excel",H? th?ng x? lý xu?t file thành công (có th? m?t th?i gian nh?ng không l?i),Medium
TS_CAB_05,Qu?n tr? h? th?ng,TC05_05,Empty,L?c tìm ki?m chuy?n ?i b? tr?ng t? khóa,Keyword: [R?ng],"1. B? tr?ng ô tìm ki?m
2. B?m Tìm",Hi?n th? toàn b? danh sách chuy?n ?i ho?c yêu c?u nh?p t? khóa,Low
TS_CAB_05,Qu?n tr? h? th?ng,TC05_06,Format,Tìm ki?m theo ID chuy?n ?i b?ng ch? cái,ID: ChuyenDi123,"1. Nh?p ID b?ng ch? vào ô tìm ki?m s?
2. B?m Tìm","Báo l?i ""ID chuy?n ?i ph?i là s?""",Medium
